,Unnamed: 0,title,time_since_posted,year,kilometers,trim,location,price,im_link
414,414,ساینا,2 روز پیش,1402,0,دنده ای بنزینی,تهران / زنجان,360000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/aedbe126-b04a-467c-a725-e71cd3c080b2/CarImage_638374143604197112_thumb_900_600.jpg?width=270
415,415,کوییک,2 روز پیش,1402,0,دنده ای,چایپاره,,/images/default-images/default-car-white.svg
416,416,کوییک,2 روز پیش,1401,26000,اتوماتیک,تهران / شهرک غرب,400000000.0,/images/default-images/default-car-white.svg
417,417,پراید,2 روز پیش,1398,170000,SE,شیراز / شهر صدرا,235000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/9504d5c5-ec8b-4557-9af7-6f3022ba1eac/CarImage_638374122825260476_thumb_900_600.jpg?width=270
418,418,کوییک,2 روز پیش,1401,0,دنده ای,تهران / صادقیه,338000000.0,/images/default-images/default-car-white.svg
419,419,پراید,2 روز پیش,1393,135000,SE,آباده,,/images/default-images/default-car-white.svg
420,420,کوییک,2 روز پیش,1401,0,دنده ای,تهران / سیدخندان,320000000.0,/images/default-images/default-car-white.svg
421,421,برلیانس,2 روز پیش,1399,65000,1.65 اتوماتیک,تهران / گرگان,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/1a38ddee-af8c-46a1-83ff-41091b0f57f9/CarImage_638349040000725561_thumb_900_600.jpg?width=270
422,422,پراید,2 روز پیش,1402,0,SE,تهران / پیروزی,275000000.0,/images/default-images/default-car-white.svg
423,423,ساینا,2 روز پیش,1401,0,دنده ای بنزینی,گرگان / خیابان جانبازان,339000000.0,/images/default-images/default-car-white.svg
424,424,پراید,2 روز پیش,1382,100000,دنده ای,اصفهان / شیخ صدوق,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/d0cc2ce9-5ab6-4282-b5d4-6d63d5caa661/CarImage_638374099174587461_thumb_900_600.jpg?width=270
425,425,پراید,2 روز پیش,1390,206000,SL,دامغان,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/d8244026-d35f-42c0-8685-ea97a9dc2a2b/CarImage_638374096682324219_thumb_900_600.jpg?width=270
426,426,پراید,2 روز پیش,1389,150000,SE,تهران / دریاچه شهدای خلیج فارس,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/e94a7d3b-058a-42a8-a1c2-55f9bf7f2aa9/CarImage_638374082950570735_thumb_900_600.jpeg?width=270
427,427,کیا,2 روز پیش,1389,90000,دنده ای,بم,265000000.0,/images/default-images/default-car-white.svg
428,428,تیبا,2 روز پیش,1392,220000,SX دوگانه سوز,تهران / امیرآباد,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/8471008b-6f4c-45c0-b8e7-59fe8f98c09a/CarImage_638374082359323712_thumb_900_600.jpg?width=270
429,429,پراید,2 روز پیش,1398,112000,SE,گرگان,175000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/22d665f6-b89e-4051-a470-4188819e0bd7/CarImage_638368151239299793_thumb_900_600.jpeg?width=270
430,430,چانگان,2 روز پیش,1396,130000,اتوماتیک,اردبیل,725000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/15391ed3-32b6-4b38-b674-ddf1ba185dd4/CarImage_638374051159713411_thumb_900_600.jpg?width=270
431,431,ساینا,2 روز پیش,1402,0,دنده ای بنزینی,کرمان,357000000.0,/images/default-images/default-car-white.svg
432,432,تیبا,2 روز پیش,1397,110000,EX,همدان,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/a64ba74d-b4e2-48a3-8174-20ddda83cac7/CarImage_638374570840130158_thumb_900_600.jpg?width=270
433,433,کوییک,2 روز پیش,1401,23000,دنده ای,رشت / حمیدیان,325000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/ce39d92f-9d4a-45e8-8903-6f0b7717fbcf/CarImage_638374036860509945_thumb_900_600.jpg?width=270
434,434,کوییک,2 روز پیش,1402,0,دنده ای,تهران / امام حسین(ع),333000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/d8ece0b3-164c-41d2-a512-31cbd9a3904a/CarImage_638374024280759251_thumb_900_600.jpeg?width=270
435,435,شاهین,2 روز پیش,1400,25000,دنده ای,اصفهان / الیادران,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/a65fd4a1-fdad-4dfa-a9b4-1be361bad11b/CarImage_638374019518181743_thumb_900_600.jpeg?width=270
436,436,تیبا,2 روز پیش,1393,100000,SX,لنگرود,250000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/c7831967-2aed-49f9-99ec-bb695d6c7127/CarImage_638374018520533236_thumb_900_600.jpeg?width=270
437,437,شاهین,2 روز پیش,1402,0,CVT,تهران / پاسداران,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/e574d7f5-7182-4446-aae3-529510be205a/CarImage_638374016532534147_thumb_900_600.jpg?width=270
